,Amount missing,Persentage missing
"SDQ,SDQ_28",159,10.439921208141826
"SDQ,SDQ_29_d",157,10.3086014445174
"SDQ,SDQ_29_c",153,10.04596191726855
"SDQ,SDQ_29_b",152,9.980302035456337
"SDQ,SDQ_29_a",149,9.783322390019698
"PreInt_EduHx,current_religious",146,9.58634274458306
"PreInt_DevHx,newborn_problems",145,9.520682862770848
"SDQ,SDQ_30",145,9.520682862770848
"PreInt_EduHx,number_friends",131,8.601444517399868
"PreInt_DevHx,birthweight_lbs",125,8.207485226526593
"PreInt_DevHx,m_birthage",102,6.6973079448457
"APQ_SR,APQ_SR_20A",99,6.500328299409061
"APQ_SR,APQ_SR_15A",97,6.369008535784635
"APQ_SR,APQ_SR_09A",95,6.23768877216021
"APQ_SR,APQ_SR_07A",94,6.172028890347998
"APQ_SR,APQ_SR_14A",94,6.172028890347998
"APQ_SR,APQ_SR_11A",93,6.106369008535785
"APQ_SR,APQ_SR_04A",93,6.106369008535785
"APQ_SR,APQ_SR_26A",92,6.040709126723572
"APQ_SR,APQ_SR_01A",85,5.581089954038083
"CBCL,CBCL_56H",82,5.384110308601445
"PreInt_DevHx,complications",79,5.187130663164806
"WHODAS_P,WHODAS_P_Days03",70,4.596191726854892
"WHODAS_P,WHODAS_P_Days01",66,4.333552199606041
"WHODAS_SR,WHODAS_SR_Days01",64,4.202232435981615
"PreInt_EduHx,afterschoolteams",62,4.070912672357189
"WHODAS_P,WHODAS_P_Days02",62,4.070912672357189
"WHODAS_SR,WHODAS_SR_Days03",59,3.8739330269205516
"WHODAS_SR,WHODAS_SR_Days02",56,3.6769533814839135
"PreInt_EduHx,getalongkids_school",45,2.954694681549573
"PreInt_EduHx,bullied",45,2.954694681549573
"CCSC,CCSC_51",38,2.495075508864084
"CCSC,CCSC_44",35,2.298095863427446
"CCSC,CCSC_56",34,2.2324359816152333
"PreInt_EduHx,suspension",33,2.1667760998030205
"CCSC,CCSC_34",32,2.1011162179908074
"SCQ,SCQ_02",31,2.0354563361785947
"SCQ,SCQ_06",31,2.0354563361785947
"SCQ,SCQ_07",31,2.0354563361785947
"PreInt_DevHx,preg_dur",30,1.969796454366382
"SCQ,SCQ_03",30,1.969796454366382
"SCQ,SCQ_04",30,1.969796454366382
"SCQ,SCQ_05",29,1.9041365725541695
"CBCL,CBCL_41",29,1.9041365725541695
"PreInt_EduHx,school_difficulty",28,1.8384766907419567
"PreInt_EduHx,expulsion",25,1.6414970453053186
"PreInt_DevHx,delivery",24,1.5758371634931057
"PreInt_EduHx,tutor",23,1.510177281680893
"Barratt,financialsupport",21,1.3788575180564675
"ESWAN,Panic_B13",20,1.3131976362442548
"PreInt_DevHx,puberty",19,1.247537754432042
"PreInt_EduHx,detention",19,1.247537754432042
"ESWAN,Panic_B12",18,1.1818778726198294
"ESWAN,Panic_B11",17,1.1162179908076166
"ESWAN,Panic_B09",17,1.1162179908076166
"ESWAN,Panic_B02",16,1.0505581089954037
"ESWAN,DMDD_10C",16,1.0505581089954037
"ESWAN,Panic_A03B",16,1.0505581089954037
"ESWAN,Panic_B08",15,0.984898227183191
"ESWAN,Panic_B05",15,0.984898227183191
"ESWAN,Panic_A03A",15,0.984898227183191
"ESWAN,Panic_A02B",14,0.9192383453709784
"ESWAN,Panic_B10",14,0.9192383453709784
"ESWAN,Panic_B06",14,0.9192383453709784
"ESWAN,Panic_A01B",14,0.9192383453709784
"ESWAN,DMDD_10B",14,0.9192383453709784
"SDQ,SDQ_24",13,0.8535784635587657
"SympChck,CSC_26P",13,0.8535784635587657
"ESWAN,Panic_B01",12,0.7879185817465528
"ESWAN,DMDD_8C",12,0.7879185817465528
"ESWAN,Panic_B07",12,0.7879185817465528
"ESWAN,Panic_B04",12,0.7879185817465528
"ESWAN,Panic_B03",12,0.7879185817465528
"SympChck,CSC_32C",12,0.7879185817465528
"ESWAN,Panic_A01A",12,0.7879185817465528
"ESWAN,Panic_A02A",12,0.7879185817465528
"PreInt_DevHx,lost_skills",11,0.7222586999343401
"SympChck,CSC_11P",11,0.7222586999343401
"SympChck,CSC_15P",11,0.7222586999343401
"CBCL,CBCL_30",11,0.7222586999343401
"ESWAN,DMDD_4C",11,0.7222586999343401
"SympChck,CSC_55dC",11,0.7222586999343401
"SympChck,CSC_33P",11,0.7222586999343401
"SympChck,CSC_25P",11,0.7222586999343401
"SympChck,CSC_06P",10,0.6565988181221274
"ESWAN,DMDD_7C",10,0.6565988181221274
"PreInt_EduHx,family_religious",10,0.6565988181221274
"SympChck,CSC_54P",10,0.6565988181221274
"SympChck,CSC_39P",10,0.6565988181221274
"SympChck,CSC_45P",10,0.6565988181221274
"SympChck,CSC_37P",10,0.6565988181221274
"SympChck,CSC_22P",10,0.6565988181221274
"SympChck,CSC_31P",10,0.6565988181221274
"SympChck,CSC_30P",10,0.6565988181221274
"SympChck,CSC_32P",9,0.5909389363099147
"SDQ,SDQ_12",9,0.5909389363099147
"SympChck,CSC_55fP",9,0.5909389363099147
"CCSC,CCSC_42",9,0.5909389363099147
"SympChck,CSC_47P",9,0.5909389363099147
"SympChck,CSC_55bP",9,0.5909389363099147
"SympChck,CSC_10P",9,0.5909389363099147
"CCSC,CCSC_28",9,0.5909389363099147
"SympChck,CSC_21P",9,0.5909389363099147
"SympChck,CSC_12P",9,0.5909389363099147
"SDQ,SDQ_22",9,0.5909389363099147
"SympChck,CSC_03P",9,0.5909389363099147
"RBS,RBS_27",9,0.5909389363099147
"PreInt_EduHx,bestfriend",9,0.5909389363099147
"SympChck,CSC_18P",8,0.5252790544977018
"APQ_SR,APQ_SR_24",8,0.5252790544977018
"ESWAN,DMDD_2C",8,0.5252790544977018
"CCSC,CCSC_26",8,0.5252790544977018
"CBCL,CBCL_86",8,0.5252790544977018
"RBS,RBS_44",8,0.5252790544977018
"SympChck,CSC_24P",8,0.5252790544977018
"CBCL,CBCL_85",8,0.5252790544977018
"ESWAN,DMDD_5C",8,0.5252790544977018
"ESWAN,DMDD_8B",8,0.5252790544977018
"CCSC,CCSC_14",8,0.5252790544977018
"ESWAN,DMDD_9C",8,0.5252790544977018
"SWAN,SWAN_17",8,0.5252790544977018
"SympChck,CSC_38P",8,0.5252790544977018
"SympChck,CSC_46P",8,0.5252790544977018
"PCIAT,PCIAT_16",8,0.5252790544977018
"SympChck,CSC_48P",8,0.5252790544977018
"APQ_SR,APQ_SR_19",8,0.5252790544977018
"CBCL,CBCL_84",8,0.5252790544977018
"SympChck,CSC_50P",8,0.5252790544977018
"APQ_SR,APQ_SR_20",7,0.4596191726854892
"PreInt_EduHx,repeated_grades",7,0.4596191726854892
"C3SR,C3SR_19",7,0.4596191726854892
"SympChck,CSC_20C",7,0.4596191726854892
"CBCL,CBCL_79",7,0.4596191726854892
"ESWAN,DMDD_9B",7,0.4596191726854892
"APQ_SR,APQ_SR_18",7,0.4596191726854892
"APQ_SR,APQ_SR_23",7,0.4596191726854892
"ESWAN,DMDD_9A",7,0.4596191726854892
"APQ_SR,APQ_SR_17",7,0.4596191726854892
"CBCL,CBCL_70",7,0.4596191726854892
"IAT,IAT_09",7,0.4596191726854892
"ESWAN,DMDD_8A",7,0.4596191726854892
"CCSC,CCSC_27",7,0.4596191726854892
"CCSC,CCSC_45",7,0.4596191726854892
"APQ_SR,APQ_SR_12",7,0.4596191726854892
"SDQ,SDQ_25",7,0.4596191726854892
"SympChck,CSC_39C",7,0.4596191726854892
"SDQ,SDQ_23",7,0.4596191726854892
"WHODAS_P,WHODAS_P_12",7,0.4596191726854892
"SympChck,CSC_36P",7,0.4596191726854892
"APQ_SR,APQ_SR_32",7,0.4596191726854892
"SympChck,CSC_08C",7,0.4596191726854892
"SympChck,CSC_23P",7,0.4596191726854892
"SympChck,CSC_55aP",7,0.4596191726854892
"SympChck,CSC_53P",7,0.4596191726854892
"CCSC,CCSC_37",7,0.4596191726854892
"CCSC,CCSC_40",7,0.4596191726854892
"SympChck,CSC_26C",7,0.4596191726854892
"SympChck,CSC_55hC",7,0.4596191726854892
"SympChck,CSC_55iC",7,0.4596191726854892
"SympChck,CSC_55gP",7,0.4596191726854892
"APQ_SR,APQ_SR_15",6,0.3939592908732764
"SDQ,SDQ_04",6,0.3939592908732764
"SympChck,CSC_07P",6,0.3939592908732764
"SRS,SRS_21",6,0.3939592908732764
"APQ_SR,APQ_SR_14",6,0.3939592908732764
"SDQ,SDQ_14",6,0.3939592908732764
"SDQ,SDQ_16",6,0.3939592908732764
"APQ_SR,APQ_SR_04",6,0.3939592908732764
"RBS,RBS_24",6,0.3939592908732764
"SWAN,SWAN_18",6,0.3939592908732764
"IAT,IAT_06",6,0.3939592908732764
"SympChck,CSC_20P",6,0.3939592908732764
"CCSC,CCSC_41",6,0.3939592908732764
"CBCL,CBCL_112",6,0.3939592908732764
"SympChck,CSC_28C",6,0.3939592908732764
"SympChck,CSC_29P",6,0.3939592908732764
"CBCL,CBCL_40",6,0.3939592908732764
"PCIAT,PCIAT_17",6,0.3939592908732764
"SympChck,CSC_45C",6,0.3939592908732764
"IAT,IAT_15",6,0.3939592908732764
"CCSC,CCSC_20",6,0.3939592908732764
"SympChck,CSC_43P",6,0.3939592908732764
"SympChck,CSC_42P",6,0.3939592908732764
"CCSC,CCSC_24",6,0.3939592908732764
"SympChck,CSC_41P",6,0.3939592908732764
"SympChck,CSC_35P",6,0.3939592908732764
"SympChck,CSC_37C",6,0.3939592908732764
"SympChck,CSC_54C",6,0.3939592908732764
"SympChck,CSC_55aC",6,0.3939592908732764
"SympChck,CSC_19P",6,0.3939592908732764
"C3SR,C3SR_36",6,0.3939592908732764
"ESWAN,MDD_8B",6,0.3939592908732764
"ESWAN,DMDD_7B",6,0.3939592908732764
"C3SR,C3SR_18",6,0.3939592908732764
"ESWAN,DMDD_6C",6,0.3939592908732764
"ESWAN,DMDD_6B",6,0.3939592908732764
"CBCL,CBCL_67",6,0.3939592908732764
"CBCL,CBCL_65",6,0.3939592908732764
"SympChck,CSC_16P",6,0.3939592908732764
"SympChck,CSC_55iP",6,0.3939592908732764
"ESWAN,DMDD_5A",6,0.3939592908732764
"CCSC,CCSC_48",6,0.3939592908732764
"SympChck,CSC_55gC",6,0.3939592908732764
"CBCL,CBCL_82",6,0.3939592908732764
"SympChck,CSC_04P",5,0.3282994090610637
"APQ_SR,APQ_SR_09",5,0.3282994090610637
"CBCL,CBCL_60",5,0.3282994090610637
"CBCL,CBCL_92",5,0.3282994090610637
"ICU_P,ICU_P_15",5,0.3282994090610637
"CBCL,CBCL_56D",5,0.3282994090610637
"APQ_SR,APQ_SR_11",5,0.3282994090610637
"APQ_P,APQ_P_37",5,0.3282994090610637
"SRS,SRS_15",5,0.3282994090610637
"DTS,DTS_14",5,0.3282994090610637
"ESWAN,DMDD_7A",5,0.3282994090610637
"ESWAN,DMDD_6A",5,0.3282994090610637
"CBCL,CBCL_09",5,0.3282994090610637
"CBCL,CBCL_100",5,0.3282994090610637
"SRS,SRS_37",5,0.3282994090610637
"APQ_SR,APQ_SR_16",5,0.3282994090610637
"ESWAN,DMDD_10A",5,0.3282994090610637
"DTS,DTS_13",5,0.3282994090610637
"CBCL,CBCL_29",5,0.3282994090610637
"DTS,DTS_07",5,0.3282994090610637
"PCIAT,PCIAT_20",5,0.3282994090610637
"SympChck,CSC_05P",5,0.3282994090610637
"PCIAT,PCIAT_19",5,0.3282994090610637
"ESWAN,SocAnx_05",5,0.3282994090610637
"APQ_P,APQ_P_06",5,0.3282994090610637
"APQ_SR,APQ_SR_07",5,0.3282994090610637
"RBS,RBS_12",5,0.3282994090610637
"CBCL,CBCL_55",5,0.3282994090610637
"SWAN,SWAN_15",5,0.3282994090610637
"RBS,RBS_26",5,0.3282994090610637
"SympChck,CSC_30C",5,0.3282994090610637
"ASSQ,ASSQ_12",5,0.3282994090610637
"CIS_SR,CIS_SR_03",5,0.3282994090610637
"CCSC,CCSC_32",5,0.3282994090610637
"IAT,IAT_05",5,0.3282994090610637
"SympChck,CSC_34P",5,0.3282994090610637
"IAT,IAT_14",5,0.3282994090610637
"SympChck,CSC_35C",5,0.3282994090610637
"SCQ,SCQ_34",5,0.3282994090610637
"IAT,IAT_19",5,0.3282994090610637
"IAT,IAT_20",5,0.3282994090610637
"CCSC,CCSC_25",5,0.3282994090610637
"SCARED_SR,SCARED_SR_30",5,0.3282994090610637
"SympChck,CSC_44P",5,0.3282994090610637
"SWAN,SWAN_12",5,0.3282994090610637
"CCSC,CCSC_19",5,0.3282994090610637
"SympChck,CSC_55hP",5,0.3282994090610637
"CCSC,CCSC_18",5,0.3282994090610637
"SympChck,CSC_55eP",5,0.3282994090610637
"SympChck,CSC_55eC",5,0.3282994090610637
"SympChck,CSC_55cC",5,0.3282994090610637
"SympChck,CSC_55bC",5,0.3282994090610637
"SympChck,CSC_53C",5,0.3282994090610637
"SympChck,CSC_50C",5,0.3282994090610637
"SympChck,CSC_52C",5,0.3282994090610637
"RBS,RBS_28",5,0.3282994090610637
"IAT,IAT_03",5,0.3282994090610637
"RBS,RBS_25",5,0.3282994090610637
"CCSC,CCSC_49",5,0.3282994090610637
"APQ_SR,APQ_SR_21",5,0.3282994090610637
"APQ_SR,APQ_SR_26",5,0.3282994090610637
"CCSC,CCSC_55",5,0.3282994090610637
"APQ_SR,APQ_SR_28",5,0.3282994090610637
"APQ_SR,APQ_SR_33",5,0.3282994090610637
"SympChck,CSC_09P",5,0.3282994090610637
"SympChck,CSC_13P",5,0.3282994090610637
"WHODAS_P,WHODAS_P_07",5,0.3282994090610637
"SDQ,SDQ_19",5,0.3282994090610637
"CCSC,CCSC_52",5,0.3282994090610637
"RBS,RBS_21",5,0.3282994090610637
"SDQ,SDQ_15",5,0.3282994090610637
"CCSC,CCSC_50",5,0.3282994090610637
"SympChck,CSC_51P",5,0.3282994090610637
"CCSC,CCSC_46",5,0.3282994090610637
"SympChck,CSC_27C",5,0.3282994090610637
"RBS,RBS_13",5,0.3282994090610637
"CBCL,CBCL_56C",5,0.3282994090610637
"CCSC,CCSC_43",5,0.3282994090610637
"RBS,RBS_09",5,0.3282994090610637
"CCSC,CCSC_47",5,0.3282994090610637
"CBCL,CBCL_77",4,0.2626395272488509
"CCSC,CCSC_33",4,0.2626395272488509
"PCIAT,PCIAT_18",4,0.2626395272488509
"CCSC,CCSC_11",4,0.2626395272488509
"CCSC,CCSC_10",4,0.2626395272488509
"CCSC,CCSC_53",4,0.2626395272488509
"PCIAT,PCIAT_15",4,0.2626395272488509
"PCIAT,PCIAT_14",4,0.2626395272488509
"CBCL,CBCL_73",4,0.2626395272488509
"PCIAT,PCIAT_08",4,0.2626395272488509
"CBCL,CBCL_66",4,0.2626395272488509
"CBCL,CBCL_96",4,0.2626395272488509
"APQ_P,APQ_P_36",4,0.2626395272488509
"APQ_P,APQ_P_30",4,0.2626395272488509
"APQ_P,APQ_P_28",4,0.2626395272488509
"CBCL,CBCL_98",4,0.2626395272488509
"CCSC,CCSC_23",4,0.2626395272488509
"CBCL,CBCL_80",4,0.2626395272488509
"ICU_P,ICU_P_16",4,0.2626395272488509
"CCSC,CCSC_31",4,0.2626395272488509
"APQ_P,APQ_P_16",4,0.2626395272488509
"C3SR,C3SR_33",4,0.2626395272488509
"CCSC,CCSC_06",4,0.2626395272488509
"ESWAN,SocAnx_02",4,0.2626395272488509
"WHODAS_SR,WHODAS_SR_12",4,0.2626395272488509
"WHODAS_SR,WHODAS_SR_11",4,0.2626395272488509
"RBS,RBS_14",4,0.2626395272488509
"RBS,RBS_10",4,0.2626395272488509
"RBS,RBS_08",4,0.2626395272488509
"PSI,PSI_10",4,0.2626395272488509
"ESWAN,SocAnx_01",4,0.2626395272488509
"ESWAN,SocAnx_03",4,0.2626395272488509
"IAT,IAT_10",4,0.2626395272488509
"ESWAN,SocAnx_04B",4,0.2626395272488509
"CIS_P,CIS_P_10",4,0.2626395272488509
"APQ_SR,APQ_SR_01",4,0.2626395272488509
"APQ_SR,APQ_SR_05",4,0.2626395272488509
"APQ_SR,APQ_SR_37",4,0.2626395272488509
"SympChck,CSC_01P",4,0.2626395272488509
"APQ_SR,APQ_SR_27",4,0.2626395272488509
"CIS_SR,CIS_SR_07",4,0.2626395272488509
"IAT,IAT_16",4,0.2626395272488509
"CCSC,CCSC_04",4,0.2626395272488509
"C3SR,C3SR_24",4,0.2626395272488509
"CCSC,CCSC_03",4,0.2626395272488509
"ESWAN,DMDD_3C",4,0.2626395272488509
"C3SR,C3SR_39",4,0.2626395272488509
"C3SR,C3SR_35",4,0.2626395272488509
"ESWAN,DMDD_5B",4,0.2626395272488509
"C3SR,C3SR_34",4,0.2626395272488509
"C3SR,C3SR_25",4,0.2626395272488509
"C3SR,C3SR_23",4,0.2626395272488509
"IAT,IAT_17",4,0.2626395272488509
"C3SR,C3SR_17",4,0.2626395272488509
"C3SR,C3SR_16",4,0.2626395272488509
"SCARED_SR,SCARED_SR_39",4,0.2626395272488509
"SCARED_SR,SCARED_SR_29",4,0.2626395272488509
"SCARED_SR,SCARED_SR_28",4,0.2626395272488509
"ESWAN,MDD_7",4,0.2626395272488509
"ESWAN,MDD_8A",4,0.2626395272488509
"SympChck,CSC_11C",4,0.2626395272488509
"PCIAT,PCIAT_07",4,0.2626395272488509
"SympChck,CSC_42C",4,0.2626395272488509
"SympChck,CSC_36C",4,0.2626395272488509
"SWAN,SWAN_11",4,0.2626395272488509
"SWAN,SWAN_10",4,0.2626395272488509
"SCQ,SCQ_37",4,0.2626395272488509
"SWAN,SWAN_03",4,0.2626395272488509
"SympChck,CSC_55fC",4,0.2626395272488509
"SympChck,CSC_55cP",4,0.2626395272488509
"SympChck,CSC_52P",4,0.2626395272488509
"SympChck,CSC_49P",4,0.2626395272488509
"CBCL,CBCL_44",4,0.2626395272488509
"CBCL,CBCL_46",4,0.2626395272488509
"SympChck,CSC_41C",4,0.2626395272488509
"SDQ,SDQ_20",4,0.2626395272488509
"SRS,SRS_44",4,0.2626395272488509
"SDQ,SDQ_17",4,0.2626395272488509
"SWAN,SWAN_16",4,0.2626395272488509
"SRS,SRS_51",4,0.2626395272488509
"SympChck,CSC_27P",4,0.2626395272488509
"SympChck,CSC_33C",4,0.2626395272488509
"SympChck,CSC_17P",4,0.2626395272488509
"SympChck,CSC_25C",4,0.2626395272488509
"CBCL,CBCL_103",4,0.2626395272488509
"CBCL,CBCL_10",4,0.2626395272488509
"SympChck,CSC_15C",4,0.2626395272488509
"SympChck,CSC_28P",4,0.2626395272488509
"SRS,SRS_64",4,0.2626395272488509
"SDQ,SDQ_06",4,0.2626395272488509
"CBCL,CBCL_53",4,0.2626395272488509
"PSI,PSI_24",3,0.1969796454366382
"SWAN,SWAN_13",3,0.1969796454366382
"APQ_SR,APQ_SR_22",3,0.1969796454366382
"APQ_SR,APQ_SR_25",3,0.1969796454366382
"SWAN,SWAN_14",3,0.1969796454366382
"CBCL,CBCL_56E",3,0.1969796454366382
"SympChck,CSC_08P",3,0.1969796454366382
"APQ_SR,APQ_SR_31",3,0.1969796454366382
"CIS_P,CIS_P_05",3,0.1969796454366382
"APQ_SR,APQ_SR_35",3,0.1969796454366382
"APQ_SR,APQ_SR_39",3,0.1969796454366382
"APQ_SR,APQ_SR_40",3,0.1969796454366382
"SDQ,SDQ_21",3,0.1969796454366382
"WHODAS_P,WHODAS_P_09",3,0.1969796454366382
"WHODAS_P,WHODAS_P_11",3,0.1969796454366382
"SRS,SRS_02",3,0.1969796454366382
"SDQ,SDQ_13",3,0.1969796454366382
"APQ_SR,APQ_SR_30",3,0.1969796454366382
"MFQ_P,MFQ_P_09",3,0.1969796454366382
"APQ_SR,APQ_SR_13",3,0.1969796454366382
"APQ_SR,APQ_SR_10",3,0.1969796454366382
"ESWAN,DMDD_4B",3,0.1969796454366382
"CBCL,CBCL_04",3,0.1969796454366382
"SRS,SRS_63",3,0.1969796454366382
"ESWAN,MDD_6",3,0.1969796454366382
"ESWAN,MDD_9",3,0.1969796454366382
"SRS,SRS_42",3,0.1969796454366382
"SRS,SRS_40",3,0.1969796454366382
"SRS,SRS_38",3,0.1969796454366382
"SRS,SRS_34",3,0.1969796454366382
"SRS,SRS_30",3,0.1969796454366382
"SRS,SRS_23",3,0.1969796454366382
"ESWAN,SocAnx_04A",3,0.1969796454366382
"SRS,SRS_22",3,0.1969796454366382
"SRS,SRS_20",3,0.1969796454366382
"RBS,RBS_05",3,0.1969796454366382
"MFQ_P,MFQ_P_29",3,0.1969796454366382
"MFQ_P,MFQ_P_32",3,0.1969796454366382
"MFQ_P,MFQ_P_33",3,0.1969796454366382
"SRS,SRS_19",3,0.1969796454366382
"SRS,SRS_17",3,0.1969796454366382
"SRS,SRS_16",3,0.1969796454366382
"SRS,SRS_14",3,0.1969796454366382
"APQ_SR,APQ_SR_08",3,0.1969796454366382
"PSI,PSI_33",3,0.1969796454366382
"RBS,RBS_30",3,0.1969796454366382
"RBS,RBS_06",3,0.1969796454366382
"CCSC,CCSC_22",3,0.1969796454366382
"C3SR,C3SR_20",3,0.1969796454366382
"C3SR,C3SR_21",3,0.1969796454366382
"C3SR,C3SR_22",3,0.1969796454366382
"C3SR,C3SR_31",3,0.1969796454366382
"C3SR,C3SR_32",3,0.1969796454366382
"SympChck,CSC_55dP",3,0.1969796454366382
"CCSC,CCSC_08",3,0.1969796454366382
"SympChck,CSC_51C",3,0.1969796454366382
"CCSC,CCSC_16",3,0.1969796454366382
"CCSC,CCSC_17",3,0.1969796454366382
"CCSC,CCSC_21",3,0.1969796454366382
"SympChck,CSC_43C",3,0.1969796454366382
"C3SR,C3SR_15",3,0.1969796454366382
"SympChck,CSC_40P",3,0.1969796454366382
"SympChck,CSC_38C",3,0.1969796454366382
"CCSC,CCSC_29",3,0.1969796454366382
"SympChck,CSC_34C",3,0.1969796454366382
"CCSC,CCSC_35",3,0.1969796454366382
"CCSC,CCSC_36",3,0.1969796454366382
"CCSC,CCSC_38",3,0.1969796454366382
"SympChck,CSC_24C",3,0.1969796454366382
"SympChck,CSC_23C",3,0.1969796454366382
"SympChck,CSC_17C",3,0.1969796454366382
"SympChck,CSC_14P",3,0.1969796454366382
"SCQ,SCQ_18",3,0.1969796454366382
"C3SR,C3SR_14",3,0.1969796454366382
"RBS,RBS_07",3,0.1969796454366382
"ASSQ,ASSQ_07",3,0.1969796454366382
"SDQ,SDQ_08",3,0.1969796454366382
"RBS,RBS_11",3,0.1969796454366382
"RBS,RBS_17",3,0.1969796454366382
"RBS,RBS_22",3,0.1969796454366382
"RBS,RBS_23",3,0.1969796454366382
"CBCL,CBCL_104",3,0.1969796454366382
"WHODAS_SR,WHODAS_SR_05",3,0.1969796454366382
"WHODAS_SR,WHODAS_SR_06",3,0.1969796454366382
"WHODAS_SR,WHODAS_SR_07",3,0.1969796454366382
"CIS_SR,CIS_SR_04",3,0.1969796454366382
"IAT,IAT_02",3,0.1969796454366382
"IAT,IAT_04",3,0.1969796454366382
"C3SR,C3SR_13",3,0.1969796454366382
"IAT,IAT_08",3,0.1969796454366382
"IAT,IAT_13",3,0.1969796454366382
